algorithm,n,time_ms,comparisons,allocations,depth
QuickSort_random,50,0.034521,263,0,2
QuickSort_random,100,0.012574,653,0,3
QuickSort_random,1000,0.076943,11041,0,5
QuickSort_random,2000,0.174263,24794,0,6
QuickSort_sorted,50,0.008641,256,0,2
QuickSort_sorted,100,0.011007,645,0,3
QuickSort_sorted,1000,0.092504,11030,0,5
QuickSort_sorted,2000,0.161172,24770,0,6
QuickSort_reversed,50,0.007294,257,0,2
QuickSort_reversed,100,0.008822,656,0,3
QuickSort_reversed,1000,0.086140,10989,0,5
QuickSort_reversed,2000,0.339597,24701,0,6
QuickSort_constant,50,0.020123,1225,0,0
QuickSort_constant,100,0.036161,4950,0,0
QuickSort_constant,1000,0.957599,499500,0,0
QuickSort_constant,2000,4.599570,1999000,0,0
QuickSort_partially_sorted,50,0.007490,261,0,2
QuickSort_partially_sorted,100,0.011356,635,0,3
QuickSort_partially_sorted,1000,0.078692,10955,0,5
QuickSort_partially_sorted,2000,0.153447,24865,0,6
select_MoM5_random,50,0.015404,285,0,3
select_MoM5_random,100,0.009742,630,0,4
select_MoM5_random,1000,0.134579,7408,0,6
select_MoM5_random,2000,0.534918,15271,0,7
select_MoM5_sorted,50,0.004118,227,0,3
select_MoM5_sorted,100,0.005126,542,0,4
select_MoM5_sorted,1000,0.022495,6178,0,6
select_MoM5_sorted,2000,0.043810,12725,0,6
select_MoM5_reversed,50,0.004819,341,0,3
select_MoM5_reversed,100,0.006979,688,0,4
select_MoM5_reversed,1000,0.026448,8015,0,6
select_MoM5_reversed,2000,0.050789,16589,0,7
select_MoM5_constant,50,0.010730,2664,0,3
select_MoM5_constant,100,0.045799,15918,0,3
select_MoM5_constant,1000,61.531340,27327757,0,5
select_MoM5_constant,2000,960.681848,425874900,0,5
select_MoM5_partially_sorted,50,0.004914,251,0,3
select_MoM5_partially_sorted,100,0.006073,573,0,4
select_MoM5_partially_sorted,1000,0.038980,6493,0,6
select_MoM5_partially_sorted,2000,0.075920,13212,0,7
