algorithm,n,time_ms,comparisons,allocations,depth
MergeSort_random,100,0.026442,649,1,3
MergeSort_random,1000,0.342092,9543,1,7
MergeSort_random,5000,0.445164,58515,1,9
MergeSort_random,10000,0.997693,127071,1,10
MergeSort_sorted,100,0.007339,244,1,3
MergeSort_sorted,1000,0.033370,4236,1,7
MergeSort_sorted,5000,0.160537,27124,1,9
MergeSort_sorted,10000,0.292589,59248,1,10
MergeSort_reversed,100,0.005526,724,1,3
MergeSort_reversed,1000,0.031107,8060,1,7
MergeSort_reversed,5000,0.187459,44324,1,9
MergeSort_reversed,10000,0.352267,93648,1,10
MergeSort_constant,100,0.006576,244,1,3
MergeSort_constant,1000,0.031669,4236,1,7
MergeSort_constant,5000,0.138268,27124,1,9
MergeSort_constant,10000,0.294950,59248,1,10
MergeSort_partially_sorted,100,0.005467,429,1,3
MergeSort_partially_sorted,1000,0.038086,7666,1,7
MergeSort_partially_sorted,5000,0.240988,49988,1,9
MergeSort_partially_sorted,10000,0.533155,110007,1,10
