algorithm,n,time_ms,comparisons,allocations,depth
QuickSort_random,100,0.030582,643,0,12
QuickSort_random,1000,0.115777,11063,0,21
QuickSort_random,5000,0.390307,70728,0,27
QuickSort_random,10000,1.147283,155801,0,30
QuickSort_sorted,100,0.010940,644,0,12
QuickSort_sorted,1000,0.045668,10939,0,21
QuickSort_sorted,5000,0.218455,70744,0,27
QuickSort_sorted,10000,0.485450,155481,0,30
QuickSort_reversed,100,0.011328,654,0,13
QuickSort_reversed,1000,0.059879,11092,0,21
QuickSort_reversed,5000,0.254633,70857,0,27
QuickSort_reversed,10000,0.510719,155889,0,30
QuickSort_constant,100,0.015326,4950,0,99
QuickSort_constant,1000,0.606139,499500,0,999
QuickSort_constant,5000,14.738599,12497500,0,4999
QuickSort_constant,10000,44.468379,49995000,0,9999
QuickSort_partially_sorted,100,0.013164,657,0,12
QuickSort_partially_sorted,1000,0.054702,10989,0,21
QuickSort_partially_sorted,5000,0.269456,70362,0,27
QuickSort_partially_sorted,10000,0.547832,155301,0,30
